hub,degree_centrality,betweenness_centrality,in_degree,out_degree,clustering_coefficient,source_delay,destination_delay,source_sla_breaches,destination_sla_breaches,total_delay_contribution,total_sla_breaches,norm_betweenness,norm_degree,norm_delay,norm_sla,bottleneck_score
Jamjodhpur_Court_D (Gujarat),0.0012195121951219512,7.812616259170524e-06,1,1,0.0,4727.0,269.0,98.0,22.0,4996.0,120.0,3.278197178877172e-05,0.010989010989010988,0.0004284128532402862,0.0032163821061942156,0.003348286966618021
Bharatpur_DC (Rajasthan),0.0024390243902439024,0.000406628074822542,2,2,0.5,4811.0,330.0,24.0,16.0,5141.0,40.0,0.0017062235792917849,0.03296703296703296,0.0004380948768873936,0.0010721273687314052,0.009109279319041924
Bayana_LalBagh_D (Rajasthan),0.0012195121951219512,0.0,2,0,1.0,0.0,359.0,0.0,13.0,359.0,13.0,0.0,0.010989010989010988,0.00011878841426347711,0.0003484413948377067,0.0028292160600442724
RampuraPhul_DC (Punjab),0.0012195121951219512,0.0,1,1,0.0,779.0,76.0,2.0,7.0,855.0,9.0,0.0,0.010989010989010988,0.0001519076123942723,0.00024122865796456617,0.002821413949046
TalwandiSabo_Wardno3_D (Punjab),0.0012195121951219512,0.000820324707212905,1,1,0.0,-265.0,-279.0,1.0,1.0,-544.0,2.0,0.00344210703782103,0.010989010989010988,5.84927773439044e-05,5.360636843657026e-05,0.003974654360091569
Bhatiya_Kalyanpr_D (Gujarat),0.0012195121951219512,0.0,1,1,1.0,285.0,336.0,22.0,22.0,621.0,44.0,0.0,0.010989010989010988,0.00013628282940514715,0.0011793401056045458,0.0029582244704447155
Dwarka_StnRoad_DC (Gujarat),0.0018292682926829267,1.1160880370243606e-06,2,1,0.3333333333333333,173.0,389.0,5.0,26.0,562.0,31.0,4.683138826967388e-06,0.02197802197802198,0.00013234324736942756,0.0008308987107668391,0.005653865211552316
Bhatkal_KmkshBul_D (Karnataka),0.0024390243902439024,0.0014282206580455066,2,2,0.0,667.0,261.0,14.0,10.0,928.0,24.0,0.0059928566522426,0.03296703296703296,0.00015678201050626432,0.0006432764212388432,0.010474945035855544
Mangalore_Kuntikna_H (Karnataka),0.007926829268292683,0.012757258292534115,6,7,0.07692307692307693,7598.0,35225.0,84.0,255.0,42823.0,339.0,0.053529837838512895,0.13186813186813187,0.0029542191187515556,0.009086279449998659,0.053803972907700164
Bhatpara_TrengaRD_D (Chhattisgarh),0.0006097560975609756,0.0,0,1,0.0,1082.0,0.0,60.0,0.0,1082.0,60.0,0.0,0.0,0.00016706498734526124,0.0016081910530971078,0.00028299490480088147
Mungeli_Panderia_D (Chhattisgarh),0.0012195121951219512,3.720293456747868e-07,1,1,0.0,528.0,1082.0,30.0,60.0,1610.0,90.0,1.5610462756557958e-06,0.010989010989010988,0.00020232090793610773,0.002412286579645662,0.0031602223273801025
Bheemunipatnam_SaiTempl_D (Andhra Pradesh),0.0012195121951219512,3.720293456747868e-07,1,1,0.0,700.0,404.0,39.0,34.0,1104.0,73.0,1.5610462756557958e-06,0.010989010989010988,0.00016853398403654648,0.0019566324479348145,0.0030834274766485853
Vizianagaram_NcsRd_DC (Andhra Pradesh),0.0018292682926829267,0.0004062560454768672,2,1,0.0,5508.0,1615.0,60.0,51.0,7123.0,111.0,0.0017046625330161289,0.02197802197802198,0.0005704381242568211,0.0029751534482296495,0.006680019929359792
Bhilad_Umargaon_DC (Gujarat),0.0012195121951219512,0.0,1,1,0.0,42.0,-28.0,4.0,0.0,14.0,4.0,0.0,0.010989010989010988,9.5751875241049e-05,0.00010721273687314052,0.0027872726265939806
Vapi_IndEstat_I (Gujarat),0.004878048780487805,0.0020424411077545794,3,5,0.1,6852.0,2675.0,82.0,74.0,9527.0,156.0,0.008570144053350317,0.07692307692307691,0.0007309593990681753,0.00418129673805248,0.023040254009916755
Bhilwara_DC (Rajasthan),0.0018292682926829267,0.002029420080655962,2,1,0.6666666666666666,568.0,1473.0,10.0,45.0,2041.0,55.0,0.008515507433702366,0.02197802197802198,0.0002310998885699237,0.0014741751320056823,0.008753834338244657
Rajsamand_kankroli_D (Rajasthan),0.0012195121951219512,0.0020253277578535394,1,1,1.0,1595.0,568.0,41.0,10.0,2163.0,51.0,0.008498335924670152,0.010989010989010988,0.0002392461429488693,0.0013669623951325417,0.0059865262158943985
Gwalior_HrihrNgr_I (Madhya Pradesh),0.007926829268292683,0.0076984032500483635,7,6,0.09090909090909091,27958.0,28223.0,324.0,180.0,56181.0,504.0,0.03230273058214538,0.13186813186813187,0.0038461672006692214,0.013508804846015706,0.04726085119785351
Bhinmal_RwStnDPP_D (Rajasthan),0.0012195121951219512,0.0016458578252652569,1,1,0.0,84.0,72.0,3.0,3.0,156.0,6.0,0.00690606872350124,0.010989010989010988,0.00010523358115752666,0.0001608191053097108,0.00521480806156402
Sirohi_Ricco_D (Rajasthan),0.0012195121951219512,0.001235509456985967,1,1,0.0,39.0,84.0,3.0,3.0,123.0,6.0,0.005184234681452897,0.010989010989010988,0.00010303008612059874,0.0001608191053097108,0.004611615273087867
Bhiwadi DC (Rajasthan),0.0012195121951219512,0.0,0,2,1.0,1991.0,0.0,26.0,0.0,1991.0,26.0,0.0,0.010989010989010988,0.00022776125972609354,0.0006968827896754134,0.002908725480635582
Narnaul_DC (Haryana),0.0018292682926829267,0.001631720710129615,2,1,0.3333333333333333,592.0,611.0,26.0,10.0,1203.0,36.0,0.00684674896502632,0.02197802197802198,0.0001751444691473302,0.0009649146318582647,0.008079390944330278
Neemrana_Rcocmplx_D (Rajasthan),0.0018292682926829267,0.0012291849581094957,2,1,0.3333333333333333,76.0,1715.0,2.0,21.0,1791.0,23.0,0.005157696894766749,0.02197802197802198,0.0002144067443507729,0.000616473237020558,0.007445772079314634
Lonavala_NngrgnRd_D (Maharashtra),0.0012195121951219512,0.0,1,1,0.0,2615.0,2822.0,33.0,44.0,5437.0,77.0,0.0,0.010989010989010988,0.0004578595596428682,0.0020638451848079553,0.0031712944148846573
Mumbai Hub (Maharashtra),0.013414634146341463,0.0052266402773850805,11,11,0.07692307692307693,23667.0,19726.0,705.0,596.0,43393.0,1301.0,0.021931139126688277,0.23076923076923078,0.0029922794875712195,0.03487094266798896,0.07134691765873973
Mumbai_Bhandup West_Dc (Maharashtra),0.0006097560975609756,0.0,1,0,0.0,0.0,35.0,0.0,2.0,35.0,2.0,0.0,0.0,9.715409935545766e-05,5.360636843657026e-05,3.2329480104349954e-05
Mumbai_CotnGren_M (Maharashtra),0.0024390243902439024,0.0,2,2,1.0,5606.0,4785.0,100.0,143.0,10391.0,243.0,0.0,0.03296703296703296,0.0007886509054895605,0.006513173765043287,0.009415897032887123
Mumbai_CottonGreen_DPC (Maharashtra),0.003048780487804878,0.000406628074822542,3,2,0.3333333333333333,2776.0,11928.0,75.0,328.0,14704.0,403.0,0.0017062235792917849,0.04395604395604395,0.00107664102955835,0.010801683239968907,0.013475601985148036
Mumbai_Jogeshwri_L (Maharashtra),0.0012195121951219512,0.0,1,1,0.0,2767.0,3715.0,58.0,98.0,6482.0,156.0,0.0,0.010989010989010988,0.0005276369024789185,0.00418129673805248,0.0035063564835803485
Mumbai_Jogshwri_I (Maharashtra),0.0018292682926829267,0.00041072039762496464,1,2,0.0,5580.0,8011.0,92.0,166.0,13591.0,258.0,0.0017233950883239985,0.02197802197802198,0.0010023231514946908,0.006915221528317564,0.007385557792540202
Mumbai_MiraRd_IP (Maharashtra),0.004878048780487805,0.001226952782035447,4,4,0.2,5545.0,15213.0,162.0,400.0,20758.0,562.0,0.005148330617112814,0.07692307692307691,0.0014808822099693058,0.015063389530676244,0.023662413928852474
Mumbai_MiraRoad_M (Maharashtra),0.0024390243902439024,0.0,2,2,1.0,2842.0,501.0,54.0,22.0,3343.0,76.0,0.0,0.03296703296703296,0.0003180377836632611,0.00203704200058967,0.008626823987762506
Mumbai_Pawane_L (Maharashtra),0.0018292682926829267,0.0,2,1,1.0,1905.0,1525.0,51.0,50.0,3430.0,101.0,0.0,0.02197802197802198,0.00032384699785152556,0.002707121606046798,0.005981535484875396
Mumbai_Sanpada_I (Maharashtra),0.007926829268292683,0.0048973943064628935,5,8,0.07142857142857142,4431.0,10125.0,166.0,333.0,14556.0,499.0,0.020549613172732895,0.13186813186813187,0.0010667586881806129,0.01337478892492428,0.04243230558827328
Mumbai_Tejpal_I (Maharashtra),0.0018292682926829267,0.00041109242697063945,2,1,0.0,192.0,4202.0,2.0,124.0,4394.0,126.0,0.0017249561345996543,0.02197802197802198,0.00038821576196057105,0.0033772012115039266,0.006701874263831105
Mumbai_Tejpal_M (Maharashtra),0.0012195121951219512,0.0,1,1,0.0,128.0,2539.0,3.0,83.0,2667.0,86.0,0.0,0.010989010989010988,0.0002728995216946773,0.0023050738427725214,0.0031612387040922947
Murbad_SnkunDPP_D (Maharashtra),0.0012195121951219512,0.00041034836827928987,1,1,1.0,698.0,1548.0,26.0,49.0,2246.0,75.0,0.0017218340420483427,0.010989010989010988,0.00024478826682962736,0.0020102388163713847,0.0037126275511327814
Nashik_TgrniaRD_I (Maharashtra),0.0036585365853658534,0.004881769073944553,2,4,0.3,11243.0,15021.0,148.0,303.0,26264.0,451.0,0.02048404922915535,0.054945054945054944,0.001848532018251883,0.012088236082446593,0.02318104938339807
Ranchi_Hub (Jharkhand),0.007317073170731707,0.004486301879492254,5,7,0.15555555555555556,280142.0,562670.0,1064.0,1302.0,842812.0,2366.0,0.01882465703813324,0.12087912087912088,0.05637154612168847,0.06341633386046262,0.060413746792618364
Solapur_Central_I_2 (Maharashtra),0.006097560975609756,0.0036429113528475125,5,5,0.26666666666666666,63112.0,56350.0,457.0,538.0,119462.0,995.0,0.015285765131221552,0.0989010989010989,0.008071602637997548,0.026669168297193707,0.03609356842528071
Bhiwani_DC (Haryana),0.0018292682926829267,0.0012258366939984226,2,1,0.3333333333333333,801.0,1520.0,24.0,37.0,2321.0,61.0,0.005143647478285847,0.02197802197802198,0.00024979621009537257,0.001634994237315393,0.007602480300026694
Loharu_BstndDPP_D (Haryana),0.0012195121951219512,0.001221744371196,1,1,0.0,333.0,801.0,8.0,24.0,1134.0,32.0,0.005126475969253634,0.010989010989010988,0.00017053716134284459,0.0008577018949851242,0.004712808911074998
Bhopal MP Nagar (Madhya Pradesh),0.0012195121951219512,0.0,1,1,0.0,319.0,1033.0,20.0,49.0,1352.0,69.0,0.0,0.010989010989010988,0.0001850935831019441,0.001849419711061674,0.0030709390996874844
Bhopal_Indrapri_DC (Madhya Pradesh),0.0006097560975609756,0.0,0,1,0.0,126.0,0.0,2.0,0.0,126.0,2.0,0.0,0.0,0.00010323040385122855,5.360636843657026e-05,3.384855622829268e-05
Bhopal_Old City (Madhya Pradesh),0.0018292682926829267,0.000406628074822542,2,1,0.0,2492.0,231.0,56.0,8.0,2723.0,64.0,0.0017062235792917849,0.02197802197802198,0.00027663878599976707,0.0017154037899702484,0.006418154012253098
Bhopal_Kolar Mandakni (Madhya Pradesh),0.0012195121951219512,0.0,1,1,0.0,1709.0,206.0,34.0,4.0,1915.0,38.0,0.0,0.010989010989010988,0.00022268654388347167,0.001018521000294835,0.00295570253326784
Hoshangabad_MnRDDPP_D (Madhya Pradesh),0.0012195121951219512,0.0016443697078825578,1,1,0.0,53.0,1053.0,1.0,15.0,1106.0,16.0,0.006899824538398617,0.010989010989010988,0.0001686675291902997,0.0004288509474925621,0.005268685860113722
Narsinghgarh_Central_D_1 (Madhya Pradesh),0.0012195121951219512,0.0012299290168008453,1,1,0.0,385.0,1974.0,22.0,39.0,2359.0,61.0,0.005160818987318061,0.010989010989010988,0.00025233356801668353,0.001634994237315393,0.004861871920415548
Sehore_Mangalam_D (Madhya Pradesh),0.0012195121951219512,0.00041034836827928987,1,1,1.0,622.0,2643.0,30.0,42.0,3265.0,72.0,0.0017218340420483427,0.010989010989010988,0.00031282952266688605,0.0019298292637165294,0.0037175764321938677
Jagatsghpr_Markndpr_D (Orissa),0.0012195121951219512,0.001228812928763821,1,1,0.0,158.0,2973.0,3.0,11.0,3131.0,14.0,0.005156135848491093,0.010989010989010988,0.0003038819973654212,0.00037524457905599185,0.004684157480424385
Bhubaneshwar_Nayapalli (Orissa),0.0024390243902439024,0.0,0,4,0.8333333333333334,489.0,0.0,32.0,0.0,489.0,32.0,0.0,0.03296703296703296,0.00012746884925743553,0.0008577018949851242,0.008402280738320366
Khurdha_JatniDPP_D (Orissa),0.0024390243902439024,3.720293456747868e-07,2,2,0.8333333333333334,131.0,11.0,7.0,2.0,142.0,9.0,1.5610462756557958e-06,0.03296703296703296,0.0001042987650812542,0.00024122865796456617,0.008304563597919718
Khurdha_MdhsnDPP_D (Orissa),0.0018292682926829267,0.0,2,1,1.0,39.0,334.0,3.0,19.0,373.0,22.0,0.0,0.02197802197802198,0.00011972323033974954,0.0005896700528022729,0.005612886810010773
Khurdha_MunplDPP_D (Orissa),0.0018292682926829267,0.0,1,2,1.0,62.0,105.0,4.0,6.0,167.0,10.0,0.0,0.02197802197802198,0.00010596807950316928,0.0002680318421828513,0.005561202290708715
Bhubaneswar_BjbNgr_DC (Orissa),0.0006097560975609756,0.0,0,1,0.0,223.0,0.0,9.0,0.0,223.0,9.0,0.0,0.0,0.00010970734380825907,0.00024122865796456617,6.36111346467497e-05
Bhubaneswar_Patia (Orissa),0.0006097560975609756,0.0,0,1,0.0,22.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,9.628605585606182e-05,2.680318421828513e-05,2.8091991596758225e-05
Bhupalpally_JwahrNGR_D (Telangana),0.0012195121951219512,0.0008229289126326284,1,1,0.0,36.0,42.0,2.0,2.0,78.0,4.0,0.00345303436175062,0.010989010989010988,0.0001000253201611516,0.00010721273687314052,0.003996903014436723
Mahadevpur_Kataram_D (Telangana),0.0012195121951219512,0.00041183648566198904,1,1,0.0,113.0,36.0,3.0,2.0,149.0,5.0,0.001728078227150966,0.010989010989010988,0.00010476617311939042,0.00013401592109142565,0.003398374058199147
Bhusawal_Samarth_D (Maharashtra),0.0012195121951219512,0.0,1,1,1.0,708.0,2879.0,36.0,27.0,3587.0,63.0,0.0,0.010989010989010988,0.00033433029242115227,0.0016886006057519633,0.0030841254112208296
Raver_Truptingr_D (Maharashtra),0.0018292682926829267,4.836381493772229e-06,2,1,0.6666666666666666,1136.0,1068.0,48.0,48.0,2204.0,96.0,2.0293601583525345e-05,0.02197802197802198,0.00024198381860081,0.002573105684955373,0.005948070062453237
Bhuvanagiri_HBColny_D (Telangana),0.0018292682926829267,0.000820324707212905,1,2,0.6666666666666666,116.0,765.0,3.0,26.0,881.0,29.0,0.00344210703782103,0.02197802197802198,0.000153643699393064,0.0007772923423302688,0.006854247733940661
Mothkur_Mainroad_D (Telangana),0.0012195121951219512,0.0,1,1,1.0,151.0,56.0,12.0,0.0,207.0,12.0,0.0,0.010989010989010988,0.00010863898257823342,0.0003216382106194216,0.0028226582244902185
Thirumalagiri_Xroad_D (Telangana),0.0018292682926829267,0.0008121400616080596,2,1,0.6666666666666666,3373.0,211.0,67.0,15.0,3584.0,82.0,0.003407764019756602,0.02197802197802198,0.0003341299746905224,0.0021978611058993806,0.007100434560977843
Bidar (Karnataka),0.0012195121951219512,0.004046191163558982,1,1,0.0,1804.0,935.0,44.0,42.0,2739.0,86.0,0.016977939294032435,0.010989010989010988,0.00027770714722979273,0.0023050738427725214,0.009104719363387425
Narayankhed_Datatrya_D (Telangana),0.0012195121951219512,0.004042098840756559,1,1,0.0,1614.0,1804.0,45.0,44.0,3418.0,89.0,0.016960767785000223,0.010989010989010988,0.0003230457269290063,0.0023854833954273765,0.009122105413049184
BiharSarif_Soghra_D (Bihar),0.0012195121951219512,2.232176074048721e-06,1,1,0.0,434.0,1656.0,18.0,33.0,2090.0,51.0,9.366277653934776e-06,0.010989010989010988,0.00023437174483687727,0.0013669623951325417,0.0030141682399107248
Nawada_Central_DPP_2 (Bihar),0.0012195121951219512,2.232176074048721e-06,1,1,0.0,267.0,434.0,9.0,18.0,701.0,27.0,9.366277653934776e-06,0.010989010989010988,0.0001416246355552754,0.0007236859738936985,0.0028944899994044976
Bihta_ShivNgar_D (Bihar),0.0006097560975609756,0.0,0,1,0.0,349.0,0.0,11.0,0.0,349.0,11.0,0.0,0.0,0.00011812068849471107,0.00029483502640113645,7.375542608384823e-05
Kekri_LxmntDPP_D (Rajasthan),0.0018292682926829267,0.0028419321716096966,1,2,0.3333333333333333,1265.0,792.0,32.0,17.0,2057.0,49.0,0.011924832499734625,0.02197802197802198,0.00023216824979994932,0.0013133560266959715,0.009923242335866996
Jath_Shivprsad_D (Maharashtra),0.0018292682926829267,0.002027931963273263,2,1,0.0,2616.0,1186.0,16.0,27.0,3802.0,43.0,0.008509263248599743,0.02197802197802198,0.00034868639644962195,0.0011525369213862607,0.00873279976883575
Bijnapally_nagar_D (Telangana),0.0012195121951219512,0.0008162323844104822,1,1,0.0,433.0,472.0,37.0,33.0,905.0,70.0,0.0034249355287888157,0.010989010989010988,0.00015524624123810246,0.0018762228952799592,0.0042662251769303525
Jadcherla_Badeplly_D (Telangana),0.0018292682926829267,0.0008121400616080596,1,2,0.3333333333333333,1591.0,433.0,50.0,37.0,2024.0,87.0,0.003407764019756602,0.02197802197802198,0.00022996475476302143,0.0023318770269908063,0.007094495644159682
Bijnor_NaginaRd_D (Uttar Pradesh),0.0012195121951219512,0.002043929225137279,1,1,0.0,549.0,262.0,24.0,20.0,811.0,44.0,0.008576388238452942,0.010989010989010988,0.00014896961901170175,0.0011793401056045458,0.005963132051304884
Najibabad_KotdwrRD_D (Uttar Pradesh),0.0018292682926829267,0.0020398369023348563,1,2,0.3333333333333333,1306.0,549.0,27.0,24.0,1855.0,51.0,0.008559216729420728,0.02197802197802198,0.00021868018927087552,0.0013669623951325417,0.00874994575639035
Bikaner_DC (Rajasthan),0.0012195121951219512,0.0,1,1,0.0,211.0,4862.0,6.0,89.0,5073.0,95.0,0.0,0.010989010989010988,0.0004335543416597846,0.0025463025007370875,0.0032375867077782563
Nokha_DeVDPP_D (Rajasthan),0.0018292682926829267,0.0004062560454768672,2,1,0.3333333333333333,204.0,499.0,9.0,18.0,703.0,27.0,0.0017046625330161289,0.02197802197802198,0.0001417581807090286,0.0007236859738936985,0.006235129822322452
Bikaner_ITICollg_L (Rajasthan),0.0018292682926829267,0.004844566139377074,1,2,0.3333333333333333,617.0,1403.0,22.0,27.0,2020.0,49.0,0.02032794460158977,0.02197802197802198,0.00022969766445551503,0.0013133560266959715,0.012863713925180188
Nagaur_KisanCo_D (Rajasthan),0.0024390243902439024,0.005243009568594771,2,2,0.3333333333333333,1259.0,533.0,31.0,19.0,1792.0,50.0,0.021999825162817132,0.03296703296703296,0.0002144735169276495,0.0013401592109142566,0.016196339309613287
Bikramgang_Dehrird_D (Bihar),0.0012195121951219512,0.0008121400616080596,1,1,0.0,5733.0,218.0,11.0,5.0,5951.0,16.0,0.003407764019756602,0.010989010989010988,0.0004921806641574422,0.0004288509474925621,0.004127342962330803
Raipur_BypRDDPP_D (Rajasthan),0.0012195121951219512,0.0,1,1,1.0,72.0,90.0,2.0,2.0,162.0,4.0,0.0,0.010989010989010988,0.00010563421661878628,0.00010721273687314052,0.0027897432119384146
Bilasipara_Wardno5_D (Assam),0.0012195121951219512,0.0036533281745264067,1,1,0.0,1349.0,611.0,30.0,22.0,1960.0,52.0,0.015329474426939915,0.010989010989010988,0.00022569130984291882,0.0013937655793508268,0.008378056461045072
Lakhipur_WrdN4DPP_D (Assam),0.0012195121951219512,0.003649235851723984,1,1,0.0,281.0,1349.0,4.0,30.0,1630.0,34.0,0.015312302917907701,0.010989010989010988,0.0002036563594736398,0.0009113082634216945,0.008294169097902105
BilaspurHP_Indsarea_D (Himachal Pradesh),0.0018292682926829267,0.002446464977157398,2,1,0.0,718.0,39893.0,16.0,125.0,40611.0,141.0,0.010265440308712513,0.02197802197802198,0.0028065181787005093,0.0037792489747782037,0.010355926493446733
SundarNgr_Bhogpur_D (Himachal Pradesh),0.0012195121951219512,0.0024423726543549755,1,1,0.0,510.0,718.0,16.0,16.0,1228.0,32.0,0.010248268799680299,0.010989010989010988,0.0001768137835692453,0.0008577018949851242,0.006507005557280931
Bilaspur_GrmNgriya_D (Uttar Pradesh),0.0024390243902439024,0.001225092635307073,2,2,0.5,503.0,489.0,12.0,18.0,992.0,30.0,0.0051405253857345345,0.03296703296703296,0.00016105545542636693,0.0008040955265485539,0.010201820319604203
Bilaspur_Torwa_DC (Chhattisgarh),0.0006097560975609756,0.0,0,1,0.0,158.0,0.0,3.0,0.0,158.0,3.0,0.0,0.0,0.00010536712631127986,8.04095526548554e-05,3.8403214476048275e-05
Champa_Brplicwk_D (Chhattisgarh),0.0006097560975609756,0.0,1,0,0.0,0.0,158.0,0.0,3.0,158.0,3.0,0.0,0.0,0.00010536712631127986,8.04095526548554e-05,3.8403214476048275e-05
Bilimora_DC (Gujarat),0.0024390243902439024,9.300733641869671e-06,2,2,0.0,1578.0,1468.0,102.0,55.0,3046.0,157.0,3.90261568913949e-05,0.03296703296703296,0.0002982063283309099,0.004208099922270766,0.008961183967093573
Valsad_DC (Gujarat),0.0012195121951219512,6.324498876471376e-06,1,1,0.0,3171.0,222.0,37.0,22.0,3393.0,59.0,2.653778668614853e-05,0.010989010989010988,0.0003213764125070912,0.0015813878688788227,0.003074093256051495
Vansda_CikhliRD_D (Gujarat),0.0012195121951219512,0.0,1,1,0.0,1085.0,1356.0,34.0,80.0,2441.0,114.0,0.0,0.010989010989010988,0.000257808919320565,0.003055563000884505,0.0032700394272155643
Bina_Srvdycwk_D (Madhya Pradesh),0.0024390243902439024,7.440586913495736e-07,2,2,0.5,216.0,839.0,6.0,22.0,1055.0,28.0,3.1220925513115916e-06,0.03296703296703296,0.00016526212776959292,0.0007504891581119837,0.008396739879810395
Khurai_Talaiya_D (Madhya Pradesh),0.0018292682926829267,1.1160880370243606e-06,2,1,0.6666666666666666,1068.0,137.0,22.0,5.0,1205.0,27.0,4.683138826967388e-06,0.02197802197802198,0.00017527801430108341,0.0007236859738936985,0.005648516992754258
Rehli_Ward7DPP_D (Madhya Pradesh),0.0012195121951219512,0.0,2,0,1.0,0.0,1240.0,0.0,26.0,1240.0,26.0,0.0,0.010989010989010988,0.0001776150544917645,0.0006968827896754134,0.002896188929327
Bishwanath_ChrliDPP_D (Assam),0.0012195121951219512,0.004056607985237876,1,1,1.0,4009.0,799.0,32.0,17.0,4808.0,49.0,0.017021648589750797,0.010989010989010988,0.0004158596087874848,0.0013133560266959715,0.009005798059866793
Guwahati_Hub (Assam),0.01951219512195122,0.04437342817601452,17,15,0.03162055335968379,1268320.0,275590.0,1541.0,632.0,1543910.0,2173.0,0.18619223348256939,0.3406593406593406,0.10318566622472124,0.05824331930633359,0.1848650313358648
Biswan_PatelNGR_D (Uttar Pradesh),0.0006097560975609756,0.0,0,1,0.0,1280.0,0.0,37.0,0.0,1280.0,37.0,0.0,0.0,0.00018028595756682864,0.00099171781607655,0.00019382916180318965
Sitapur_Chowk_D (Uttar Pradesh),0.0012195121951219512,1.1160880370243606e-06,1,1,0.0,2674.0,1280.0,59.0,37.0,3954.0,96.0,4.683138826967388e-06,0.010989010989010988,0.00035883582813486564,0.002573105684955373,0.003224566655619208
Blr_Domlur (Karnataka),0.0006097560975609756,0.0,0,1,0.0,115.0,0.0,4.0,0.0,115.0,4.0,0.0,0.0,0.00010249590550558592,0.00010721273687314052,4.1705886907367556e-05
Bengaluru_Bomsndra_PC (Karnataka),0.0006097560975609756,0.0,1,0,0.0,0.0,115.0,0.0,4.0,115.0,4.0,0.0,0.0,0.00010249590550558592,0.00010721273687314052,4.1705886907367556e-05
Bngnpalle_Enkndla_D (Andhra Pradesh),0.0018292682926829267,0.0012258366939984226,1,2,0.6666666666666666,152.0,859.0,9.0,30.0,1011.0,39.0,0.005143647478285847,0.02197802197802198,0.00016232413438702238,0.00104532418451312,0.007492161773179265
Bobbili_ColegRd_D (Andhra Pradesh),0.0012195121951219512,0.0016309766514382654,1,1,0.0,533.0,60.0,40.0,3.0,593.0,43.0,0.006843626872475008,0.010989010989010988,0.00013441319725260225,0.0011525369213862607,0.00534900599014009
Parvathipuram_Central_D_2 (Andhra Pradesh),0.0018292682926829267,0.0016268843286358428,1,2,0.3333333333333333,749.0,533.0,38.0,40.0,1282.0,78.0,0.006826455363442795,0.02197802197802198,0.00018041950272058187,0.00209064836902624,0.008242467002744554
Bodhan_SuryaDPP_D (Telangana),0.0012195121951219512,0.0016391612970431107,1,1,0.0,453.0,2232.0,37.0,60.0,2685.0,97.0,0.006877969890539436,0.010989010989010988,0.00027410142807845616,0.0025999088691736577,0.005613053896337213
Boisar_OstwlEmp_D (Maharashtra),0.0012195121951219512,0.0,1,1,0.0,1133.0,4605.0,51.0,31.0,5738.0,82.0,0.0,0.010989010989010988,0.00047795810528272574,0.0021978611058993806,0.0031964214394583357
Dahanu_KetyDPP_D (Maharashtra),0.0012195121951219512,0.0,1,1,0.0,4605.0,1133.0,31.0,51.0,5738.0,82.0,0.0,0.010989010989010988,0.00047795810528272574,0.0021978611058993806,0.0031964214394583357
Bokakhat_MlnprDPP_D (Assam),0.0024390243902439024,0.008027277191624875,2,2,0.3333333333333333,1108.0,3361.0,11.0,27.0,4469.0,38.0,0.0336826954898251,0.03296703296703296,0.0003932237052263163,0.001018521000294835,0.02028178573954783
Golaghat_BaruaRd_D (Assam),0.0018292682926829267,4.3527433443950056e-05,2,1,0.6666666666666666,155.0,1488.0,6.0,13.0,1643.0,19.0,0.00018264241425172808,0.02197802197802198,0.00020452440297303562,0.0005092605001474175,0.00568595051525897
Bokaro_KSClny_DC (Jharkhand),0.0018292682926829267,0.0008162323844104822,2,1,0.6666666666666666,251.0,29347.0,14.0,174.0,29598.0,188.0,0.0034249355287888157,0.02197802197802198,0.0020711517895584783,0.005038998633037604,0.007966870671926841
Peterbar_GagiDPP_D (Jharkhand),0.0012195121951219512,0.0008121400616080596,1,1,1.0,15553.0,251.0,57.0,14.0,15804.0,71.0,0.003407764019756602,0.010989010989010988,0.0011500908641226136,0.0019030260794982443,0.004512946782122948
Bolpur_WebelDPP_D (West Bengal),0.0012195121951219512,0.0,1,1,1.0,361.0,518.0,13.0,13.0,879.0,26.0,0.0,0.010989010989010988,0.00015351015423931076,0.0006968827896754134,0.0028901627042638867
Nanoor_Central_DPP_1 (West Bengal),0.0018292682926829267,0.0012176520483935772,2,1,0.3333333333333333,3108.0,1004.0,55.0,19.0,4112.0,74.0,0.005109304460221419,0.02197802197802198,0.00036938589528136897,0.0019834356321531,0.007672623874226299
Bomdila_CTRoad_D (Arunachal Pradesh),0.0006097560975609756,0.0,0,1,0.0,1777.0,0.0,8.0,0.0,1777.0,8.0,0.0,0.0,0.00021347192827450047,0.00021442547374628105,8.553180313056728e-05
Tezpur_Mhbhirab_D (Assam),0.00426829268292683,0.0016346969448950133,3,4,0.19047619047619047,2310.0,4019.0,26.0,36.0,6329.0,62.0,0.006859237335231566,0.06593406593406594,0.0005174206982167983,0.0016617974215336782,0.019262874338631785
Kokrajhar_PigonDPP_D (Assam),0.0012195121951219512,0.003254512715963035,1,1,0.0,1250.0,444.0,24.0,18.0,1694.0,42.0,0.013656032819436902,0.010989010989010988,0.00020792980439374238,0.0011257337371679756,0.007747706745729294
Bongaon_SukntDPP_D (West Bengal),0.0012195121951219512,0.00041034836827928987,1,1,1.0,121.0,1175.0,6.0,20.0,1296.0,26.0,0.0017218340420483427,0.010989010989010988,0.0001813543187968543,0.0006968827896754134,0.0034997656601201926
