hub,degree_centrality,betweenness_centrality,in_degree,out_degree,clustering_coefficient,source_delay,destination_delay,source_sla_breaches,destination_sla_breaches,total_delay_contribution,total_sla_breaches,norm_betweenness,norm_degree,norm_delay,norm_sla,bottleneck_score
Bhavnagar_ChtrGIDC_IP (Gujarat),0.0012195121951219512,0.0012332772809119184,1,1,0.0,1485.0,3738.0,35.0,77.0,5223.0,112.0,0.005174868403798963,0.010989010989010988,0.00044357022819127513,0.003001956632447935,0.005119642740497393
Gandhidham_Sector1A_IP (Gujarat),0.0024390243902439024,0.0020379767556064823,2,2,0.3333333333333333,1662.0,12660.0,28.0,142.0,14322.0,170.0,0.00855141149804245,0.03296703296703296,0.0010511339051914876,0.004556541317108472,0.01218101693993724
Godhra_DC (Gujarat),0.0012195121951219512,0.0008221848539412789,1,1,0.0,1378.0,4177.0,58.0,105.0,5555.0,163.0,0.0034499122691993085,0.010989010989010988,0.0004657387237143074,0.004368919027580477,0.0047264945765381535
Kapadvanj_Busstand_D (Gujarat),0.0012195121951219512,0.00041109242697063945,1,1,0.0,308.0,148.0,7.0,5.0,456.0,12.0,0.0017249561345996543,0.010989010989010988,0.0001252653542205076,0.0003216382106194216,0.0034305494645106662
Mehsana_Panchot_IP (Gujarat),0.007317073170731707,0.008534725219125284,6,6,0.1111111111111111,2032.0,8873.0,86.0,157.0,10905.0,243.0,0.03581196260981961,0.12087912087912088,0.0008229720100041345,0.006513173765043287,0.04393668620047461
Surat_HUB (Gujarat),0.00975609756097561,0.009510186163484575,8,8,0.16363636363636364,672468.0,159295.0,2169.0,988.0,831763.0,3157.0,0.039905025944589105,0.16483516483516483,0.05563377591977889,0.08461765257712615,0.08177664215591103
Udaipur_Mangri_I (Rajasthan),0.00548780487804878,0.008439485706632539,4,5,0.14285714285714285,42328.0,46682.0,386.0,407.0,89010.0,793.0,0.03541233476325173,0.0879120879120879,0.006038244126951228,0.02125492508510011,0.0390701389396629
Ahmedabad_Mithakal_D (Gujarat),0.0006097560975609756,0.0,0,1,0.0,1351.0,0.0,54.0,0.0,1351.0,54.0,0.0,0.0,0.0001850268105250675,0.001447371947787397,0.00026336249479937644
Ahmedabad_Paldi_D (Gujarat),0.0006097560975609756,0.0,0,1,0.0,391.0,0.0,35.0,0.0,391.0,35.0,0.0,0.0,0.00012092513672352841,0.0009381114476399796,0.000170948001326879
Airport (Tamil Nadu),0.0006097560975609756,0.0,0,1,0.0,423.0,0.0,14.0,0.0,423.0,14.0,0.0,0.0,0.00012306185918357972,0.00037524457905599185,8.70521516542937e-05
Chennai_Sholinganallur_Dc (Tamil Nadu),0.0018292682926829267,0.000406628074822542,2,1,0.0,915.0,805.0,18.0,30.0,1720.0,48.0,0.0017062235792917849,0.02197802197802198,0.00020966589139253405,0.0012865528424776864,0.006337083146477405
Aizawl_HunthrVg_I (Mizoram),0.0012195121951219512,0.0,1,1,0.0,5099.0,4135.0,13.0,9.0,9234.0,22.0,0.0,0.010989010989010988,0.0007113950340433306,0.0005896700528022729,0.003013552013683921
Champhai_AwmpiVng_D (Mizoram),0.0012195121951219512,0.0,1,1,0.0,4135.0,5099.0,9.0,13.0,9234.0,22.0,0.0,0.010989010989010988,0.0007113950340433306,0.0005896700528022729,0.003013552013683921
Ajmer_FoySGRRD_I (Rajasthan),0.00548780487804878,0.010139659816366315,5,4,0.10714285714285714,9805.0,60930.0,183.0,481.0,70735.0,664.0,0.04254631624299871,0.0879120879120879,0.004817975284531305,0.017797314320941327,0.04074332363234555
Beawar_DC (Rajasthan),0.0018292682926829267,0.0012254646646527479,1,2,0.3333333333333333,1671.0,2140.0,22.0,49.0,3811.0,71.0,0.005142086432010191,0.02197802197802198,0.0003492873496415114,0.0019030260794982443,0.007667011495044176
Bilara_Central_DPP_2 (Rajasthan),0.0024390243902439024,0.000820324707212905,2,2,0.3333333333333333,777.0,1162.0,14.0,27.0,1939.0,41.0,0.00344210703782103,0.03296703296703296,0.0002242890857285102,0.0010989305529496903,0.009667407559370182
Kishangarh_Central_D_2 (Rajasthan),0.0012195121951219512,0.0016391612970431107,1,1,0.0,360.0,631.0,11.0,22.0,991.0,33.0,0.006877969890539436,0.010989010989010988,0.00016098868284949032,0.0008845050792034093,0.0053274651415344335
Pali_Nayagaon_I (Rajasthan),0.00426829268292683,0.011729341210434679,3,4,0.2,79051.0,20288.0,617.0,245.0,99339.0,862.0,0.04921666697887593,0.06593406593406594,0.006727938073509663,0.023104344796161785,0.038856986163924745
Akbarpur_NehruNGR_D (Uttar Pradesh),0.0012195121951219512,0.0016391612970431107,1,1,0.0,42.0,786.0,13.0,15.0,828.0,28.0,0.006877969890539436,0.010989010989010988,0.000150104752818604,0.0007504891581119837,0.005304641770862998
Pukhrayan_Arulimod_D (Uttar Pradesh),0.0012195121951219512,0.001635068974240688,1,1,0.0,1995.0,42.0,63.0,13.0,2037.0,76.0,0.006860798381507222,0.010989010989010988,0.00023083279826241726,0.00203704200058967,0.005511796680434331
Akhnoor_ThthiCwk_D (Jammu & Kashmir),0.0012195121951219512,0.0,1,1,0.0,1975.0,744.0,24.0,21.0,2719.0,45.0,0.0,0.010989010989010988,0.00027637169569226066,0.001206143289822831,0.0029972671646492366
Jammu_Central_I_1 (Jammu & Kashmir),0.0036585365853658534,0.0008166044137561571,3,3,0.5,2888.0,2167.0,41.0,34.0,5055.0,75.0,0.003426496575064472,0.054945054945054944,0.0004323524352760058,0.0020102388163713847,0.01534516146881101
Akola_Gaurkshn_I (Maharashtra),0.0036585365853658534,0.00447662911650471,3,3,0.1,93560.0,130200.0,439.0,513.0,223760.0,952.0,0.01878406983496619,0.054945054945054944,0.01503584886107351,0.025516631375807446,0.027897145100141393
Bhiwandi_Mankoli_HB (Maharashtra),0.03536585365853658,0.04635336835369574,29,29,0.06156156156156156,3081680.0,1876557.0,9011.0,5487.0,4958237.0,14498.0,0.19450012176160952,0.6263736263736264,0.3311690783140832,0.38859256479669785,0.3657496035079954
Buldhana_Thsil3PL_D (Maharashtra),0.0024390243902439024,0.0016309766514382654,2,2,0.3333333333333333,696.0,906.0,6.0,6.0,1602.0,12.0,0.006843626872475008,0.03296703296703296,0.0002017867273210949,0.0003216382106194216,0.01073572006054768
Mehkar_SagarDPP_D (Maharashtra),0.0012195121951219512,0.00041034836827928987,1,1,0.0,164.0,1340.0,4.0,20.0,1504.0,24.0,0.0017218340420483427,0.010989010989010988,0.00019524301478718778,0.0006432764212388432,0.0034951968788522903
Aland_RazaviRd_D (Karnataka),0.0024390243902439024,0.00040588401613119243,2,2,0.0,5700.0,7261.0,94.0,143.0,12961.0,237.0,0.0017031014867404733,0.03296703296703296,0.0009602564280624307,0.006352354659733576,0.01003076106809305
Gulbarga_Nehrugnj_I (Karnataka),0.006097560975609756,0.0065142338427655174,5,5,0.0,8057.0,29636.0,306.0,380.0,37693.0,686.0,0.027333920286732986,0.0989010989010989,0.0026116757993745812,0.0183869843737436,0.03770311343153645
Indi_SindgiRD_D (Karnataka),0.0024390243902439024,7.440586913495736e-07,2,2,0.0,6930.0,2179.0,140.0,98.0,9109.0,238.0,3.1220925513115916e-06,0.03296703296703296,0.0007030484619337552,0.006379157843951861,0.009375486766227415
Alappuzha_Pazhvedu_D (Kerala),0.0012195121951219512,4.464352148097442e-06,1,1,0.0,3325.0,256.0,44.0,27.0,3581.0,71.0,1.8732555307869552e-05,0.010989010989010988,0.00033392965695989264,0.0019030260794982443,0.0031227454677752115
Kottayam_Central_H_1 (Kerala),0.003048780487804878,0.0024784595008854296,3,2,0.0,397.0,4774.0,40.0,69.0,5171.0,109.0,0.01039969028841891,0.04395604395604395,0.00044009805419369173,0.0029215470797930793,0.01517715916547499
Aliganj_KaimgnjRD_D (Uttar Pradesh),0.0018292682926829267,0.0024319558326760813,2,1,0.3333333333333333,986.0,3407.0,20.0,35.0,4393.0,55.0,0.010204559503961937,0.02197802197802198,0.00038814898938369444,0.0014741751320056823,0.009384264838038949
Mainpuri_Agraroad_I (Uttar Pradesh),0.00426829268292683,0.006507909343889046,2,5,0.19047619047619047,5078.0,5082.0,64.0,67.0,10160.0,131.0,0.027307382500046835,0.06593406593406594,0.0007732264402310652,0.0035112171325953523,0.026761089538479943
Aligarh_Central_D_2 (Uttar Pradesh),0.0006097560975609756,0.0,0,1,0.0,522.0,0.0,16.0,0.0,522.0,16.0,0.0,0.0,0.00012967234429436342,0.0004288509474925621,9.674572819747516e-05
SikandraRao_JydevNGR_D (Uttar Pradesh),0.0012195121951219512,0.00040774416285956636,1,1,0.0,1071.0,522.0,24.0,16.0,1593.0,40.0,0.001710906718118752,0.010989010989010988,0.00020118577412920545,0.0010721273687314052,0.003557185647436322
Aligarh_KhirByps_I (Uttar Pradesh),0.00426829268292683,0.006901888420958645,4,3,0.1,4892.0,10460.0,56.0,173.0,15352.0,229.0,0.028960530505966323,0.06593406593406594,0.001119909659374389,0.006137929185987295,0.02782036895334639
Kasganj_BnkrGate_D (Uttar Pradesh),0.0012195121951219512,0.0,1,1,0.0,362.0,196.0,1.0,3.0,558.0,4.0,0.0,0.010989010989010988,0.00013207615706192115,0.00010721273687314052,0.0027963536970491984
Allahabad_Central_D_3 (Uttar Pradesh),0.0006097560975609756,0.0,0,1,0.0,5114.0,0.0,18.0,0.0,5114.0,18.0,0.0,0.0,0.00043629201731172537,0.00048245731592913235,0.0001814416017173012
Allahabad_Central_H_1 (Uttar Pradesh),0.006097560975609756,0.00891828747451599,6,4,0.027777777777777776,18576.0,81584.0,240.0,328.0,100160.0,568.0,0.03742140132002073,0.0989010989010989,0.006782758359125354,0.015224208635985954,0.041802086072461206
Allahabad_Central_D_5 (Uttar Pradesh),0.0012195121951219512,0.000820324707212905,1,1,0.0,1850.0,799.0,38.0,26.0,2649.0,64.0,0.00344210703782103,0.010989010989010988,0.0002716976153108984,0.0017154037899702484,0.0042772251828133686
Soraon_BypassRD_D (Uttar Pradesh),0.0012195121951219512,0.0008162323844104822,1,1,0.0,446.0,1850.0,35.0,38.0,2296.0,73.0,0.0034249355287888157,0.010989010989010988,0.00024812689567345754,0.0019566324479348145,0.004301506773437419
Allahabad_Phaphamu_DC (Uttar Pradesh),0.0006097560975609756,0.0,1,0,0.0,0.0,920.0,0.0,17.0,920.0,17.0,0.0,0.0,0.00015624782989125151,0.00045565413171084725,0.00010741007722943997
Kanpur_Central_H_6 (Uttar Pradesh),0.01768292682926829,0.042479426777184186,16,13,0.03463203463203463,186201.0,389724.0,1425.0,2172.0,575925.0,3597.0,0.17824494689320575,0.30769230769230765,0.038550813396822474,0.09641105363317162,0.16340816972988026
Satna_Central_I_2 (Madhya Pradesh),0.00426829268292683,0.0028683462551526064,2,5,0.23809523809523808,14687.0,31935.0,102.0,233.0,46622.0,335.0,0.012035666785306185,0.06593406593406594,0.0032078881383057712,0.00897906671312552,0.02284483189991892
Allahabad_Mirapati_L (Uttar Pradesh),0.0006097560975609756,0.0,0,1,0.0,18.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,9.60189655485554e-05,2.680318421828513e-05,2.802521901988162e-05
Almora_SuzkiSrv_D (Uttarakhand),0.0024390243902439024,0.0008113960029167101,1,3,1.0,2987.0,1093.0,35.0,20.0,4080.0,55.0,0.0034046419272052908,0.03296703296703296,0.00036724917282131763,0.0014741751320056823,0.009746321479286274
Pithorgarh_Kumud_D (Uttarakhand),0.0018292682926829267,0.0,2,1,1.0,3918.0,3075.0,30.0,33.0,6993.0,63.0,0.0,0.02197802197802198,0.0005617576892628628,0.0016886006057519633,0.005888235007684005
Ranikhet_Subhash_D (Uttarakhand),0.003048780487804878,0.0012258366939984226,3,2,0.6666666666666666,1548.0,534.0,24.0,12.0,2082.0,36.0,0.005143647478285847,0.04395604395604395,0.0002338375642218644,0.0009649146318582647,0.01299248419224524
Rudrapur_UdhamNgr_H (Uttarakhand),0.007926829268292683,0.007314468965311983,6,7,0.14545454545454545,28137.0,10178.0,257.0,139.0,38315.0,396.0,0.0306917308256686,0.13186813186813187,0.0026532083421918285,0.010614060950440912,0.04596454998413107
Aluva_Peedika_H (Kerala),0.012195121951219513,0.022975044271492134,13,7,0.029411764705882353,31752.0,53764.0,340.0,540.0,85516.0,880.0,0.09640397379939931,0.2087912087912088,0.005804940743344377,0.023586802112090917,0.09092844853024168
