source_name,destination_name,route_type,median_delay_ratio,avg_delay_ratio,total_delay,avg_actual_time,avg_osrm_time,trip_count,sla_breach_count
Gurgaon_Bilaspur_HB (Haryana),Ahmedabad_East_H_1 (Gujarat),FTL,1.8881278538812785,1.957146841592176,168443.0,646.0628366247756,343.6517055655296,17,557
Bhiwandi_Mankoli_HB (Maharashtra),Hyderabad_Shamshbd_H (Telangana),FTL,1.7708333333333333,1.7426709859829992,163086.0,553.8748137108793,310.8256333830104,24,635
Ahmedabad_East_H_1 (Gujarat),Gurgaon_Bilaspur_HB (Haryana),FTL,1.744105335098885,1.7282390927819158,142349.0,586.483870967742,331.3781362007168,17,551
Hyderabad_Shamshbd_H (Telangana),Pune_Tathawde_H (Maharashtra),FTL,2.1812332827297043,2.2435563849190627,129415.0,504.34791666666666,234.73333333333332,20,480
Kolkata_Dankuni_HB (West Bengal),Guwahati_Hub (Assam),FTL,2.5789473684210527,2.700589659551228,126187.0,941.6650246305419,320.0541871921182,8,202
Bhiwandi_Mankoli_HB (Maharashtra),Akola_Gaurkshn_I (Maharashtra),FTL,2.3955223880597014,2.411366356028672,125154.0,509.96658711217185,211.26968973747017,20,419
Gurgaon_Bilaspur_HB (Haryana),Vadodara_Karelibaug_DPC (Gujarat),FTL,1.7955271565495208,1.7260868832159195,117021.0,680.0883116883117,376.13766233766233,11,361
Bhopal_Trnsport_H (Madhya Pradesh),Kanpur_Central_H_6 (Uttar Pradesh),FTL,2.0,2.0487697433717176,111021.0,418.9790476190476,207.5104761904762,25,521
Bhiwandi_Mankoli_HB (Maharashtra),Bhopal_Trnsport_H (Madhya Pradesh),FTL,2.0,1.945705529701931,110436.0,605.9944134078212,297.5139664804469,12,357
Kanpur_Central_H_6 (Uttar Pradesh),Gurgaon_Bilaspur_HB (Haryana),FTL,1.8289455942830175,1.8601690357420422,110279.0,365.10668789808915,189.5031847133758,35,610
Gurgaon_Bilaspur_HB (Haryana),Bhopal_Trnsport_H (Madhya Pradesh),FTL,1.7523526385862986,1.7270334608403388,108586.0,552.67903930131,315.59170305676855,18,458
Pune_Tathawde_H (Maharashtra),Vijayawada_Rynapadu_H (Andhra Pradesh),FTL,1.8399311531841653,1.8853659981542428,107116.0,677.0791788856305,362.95601173020526,10,341
Bhubaneshwar_Hub (Orissa),Kolkata_Dankuni_HB (West Bengal),FTL,1.92776886035313,2.3715800659838657,99445.0,416.59285714285716,179.8190476190476,25,420
Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),FTL,2.075716625716626,2.1483366224163167,99276.0,264.3100558659218,125.65642458100558,66,716
Hyderabad_Shamshbd_H (Telangana),Bhubaneshwar_Hub (Orissa),FTL,1.7741935483870968,1.8268254069420367,98170.0,687.8250825082508,363.83168316831683,8,303
Guwahati_Hub (Assam),Kolkata_Dankuni_HB (West Bengal),FTL,2.764705882352941,3.1348934809062294,97650.0,934.8120805369127,279.4429530201342,6,149
Pune_Tathawde_H (Maharashtra),Goa_Hub (Goa),FTL,2.2467532467532467,2.2907602777443556,93637.0,504.6507462686567,225.1373134328358,20,335
Akola_Gaurkshn_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),FTL,1.9871794871794872,1.9879830160939551,91398.0,421.4200477326969,203.28639618138425,20,414
