Model,MAE,15% Accuracy
OSRM Current Estimate,203.9165096039247,0.03912248122176335
Baseline ML Model,41.142847532629474,0.5289634146341463
Graph-Enhanced ML Model,37.17821642726726,0.5988082039911308
