route_type,avg_actual_time,avg_osrm_time,avg_delay,avg_delay_ratio,sla_breach_rate,total_trips
Carting,70.63929709631728,30.448278151558075,40.19101894475921,2.4100440525042215,0.9064713172804533,8906
FTL,576.3202497679861,298.29846063834077,278.0217891296453,1.9880586387372041,0.9627970786426179,5881
