hub,degree_centrality,betweenness_centrality,in_degree,out_degree,clustering_coefficient,source_delay,destination_delay,source_sla_breaches,destination_sla_breaches,total_delay_contribution,total_sla_breaches,norm_betweenness,norm_degree,norm_delay,norm_sla,bottleneck_score
Gurgaon_Bilaspur_HB (Haryana),0.05609756097560976,0.23832051072188573,45,47,0.03798947983635301,9823786.0,5151002.0,22709.0,14600.0,14974788.0,37309.0,1.0,1.0,1.0,1.0,1.0
Bangalore_Nelmngla_H (Karnataka),0.043292682926829265,0.14271901367579876,36,35,0.05357142857142857,4103212.0,4419657.0,9642.0,10734.0,8522869.0,20376.0,0.5988532554059034,0.7692307692307692,0.5691887425708831,0.5461416816317778,0.6261247695872459
Bhiwandi_Mankoli_HB (Maharashtra),0.03536585365853658,0.04635336835369574,29,29,0.06156156156156156,3081680.0,1876557.0,9011.0,5487.0,4958237.0,14498.0,0.19450012176160952,0.6263736263736264,0.3311690783140832,0.38859256479669785,0.3657496035079954
Hyderabad_Shamshbd_H (Telangana),0.03475609756097561,0.09024353040967871,30,27,0.042682926829268296,689715.0,1344921.0,3285.0,4982.0,2034636.0,8267.0,0.37866455613210204,0.6153846153846155,0.1359527057850692,0.22158192393256318,0.3536042135285413
Kolkata_Dankuni_HB (West Bengal),0.02804878048780488,0.08825428949835563,24,22,0.0392156862745098,982622.0,2778280.0,2597.0,4887.0,3760902.0,7484.0,0.37031764169617054,0.49450549450549447,0.2512199349795355,0.20059503068964593,0.3461317865683641
